职位名称,职位分类标签,部门,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑,职位介绍,公司名称,所属行业,公司性质,融资阶段,公司规模,公司主页,发布时间,来源网站,原始URL
Python爬虫工程师,NULL,NULL,北京-朝阳区,全职,2年经验,本科,15000-20000,NULL,NULL,"绩效奖金,五险一金,带薪年假,餐饮补贴,弹性工作,地处繁华商圈,办公室漂亮,员工培训,节日福利,下午茶充足,晋升空间大,更多,",岗位职责:Python/2年以上爬虫开发经历1、负责定向需求的爬虫系统设计和开发2、数据采集、分析，参与后续数据分析3、参与爬虫核心算法的策略优化研究，提升网页抓取的效率和质量任职要求：1、本科或以上学历，计算机软件或相关专业，2年以上开发经验优先；2、良好的python编程基础，精通HTTP协议、正则表达式3、熟悉网页抓取原理及技术，有移动端抓取经验的更好；4、较强的团队协作和学习能力5、有Scrapy框架经验的者优先， ,北京源石智影科技有限公司,移动互联网,民营私企,NULL, 51－100人,NULL,2017/3/12,中华英才网,http://www.chinahr.com/job/5357949986442247.html
JAVAEE+大数据,NULL,NULL,北京-朝阳区,全职,0年经验,大专,5000-7000,NULL,NULL,"年终奖,弹性工作,免费班车,五险一金,带薪年假,地处繁华商圈,优秀人才多,领导易相处,办公室漂亮,工作内容有趣,晋升空间大,办公装备高档,定期体检,商业保险,绩效奖金,更多,",岗位职责:入职要求：1、大专及以上学历，计算机及相关理工科专业毕业；2、热爱软件开发行业，善于学习和总结分析；3、做事认真、细心、负责，能够专心学习技术；4、有良好的工作态度和团队合作精神；5、优秀的应往届毕业生可适当放宽条件；后期发展方向：软件、开发、编程、维护、测试系统架构等，三年内平均年薪六万到十五万。工作时间：早9-晚5点半双休法定假日休息，带薪年假福利待遇：1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！3、人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！4、五天八小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！ ,薪火华扬（北京)科技有限公司,移动互联网,民营私企,NULL, 301－500人,NULL,2017/3/27,中华英才网,http://www.chinahr.com/job/5621957073144321.html
大数据分析培训师,NULL,NULL,北京-大兴区,全职,3年经验,本科,15000-30000,NULL,NULL,"餐饮补贴,话费补贴,",岗位职责:1、负责对企业内部员工进行数据分析师的培训；2、负责课件的编写与改进；3、负责教学总结与分析；4、负责对企业用人要求进行分析；5、完成教学任务。任职要求：1、具备ORACLE或者DB2两年以上的熟练使用经验；2、具备SPSS或者SAS使用经验，并能够进行建模和编程；3、具备JAVA开发经验优先； ,北京融英乐知科技有限公司,IT培训,股份制,NULL, 21－50人,NULL,2017/3/26,中华英才网,http://www.chinahr.com/job/5556596364902663.html
服务数据分析高级专员,NULL,NULL,北京-朝阳区,全职,2年经验,本科,4000-6000,NULL,NULL,"年终奖,绩效奖金,五险一金,带薪年假,带薪病假,话费补贴,定期体检,员工培训,节日福利,晋升空间大,豪华团建,优秀人才多,更多,",岗位职责:1、进行日常部门服务相关数据的分析。2、负责日报、周报分析整理工作。3、通过分析提出服务改善建议。岗位要求：1、计算机或管理专业，本科及以上。2、具有数理统计，经济学以及相关知识，对数据有敏感性。3、能熟练使用EXCLE、WORD、PPT等办公软件。4、严谨的逻辑思维能力、学习能力、言语表达能力、管理能力5、普通话标准 ,北京爱康国宾中关门诊部有限公司,"医疗,护理,卫生",上市公司,NULL, 500人以上,NULL,2017/3/27,中华英才网,http://www.chinahr.com/job/5638010428886017.html
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
